=== BY CUMULATIVE TIME (top 80) ===
         39572063 function calls (36058624 primitive calls) in 11.211 seconds

   Ordered by: cumulative time
   List reduced from 2302 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20331    0.125    0.000    0.884    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
    54/25    0.000    0.000    0.854    0.034 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
    39568    0.088    0.000    0.802    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:693(assign_zone_defender_coords)
  6855581    0.687    0.000    0.687    0.000 {method 'get' of 'dict' objects}
15784/5971    0.010    0.000    0.646    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
1245210/1    0.441    0.000    0.612    0.612 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2411(_collect_player_ids)
8019016/8018482    0.515    0.000    0.516    0.000 {built-in method builtins.isinstance}
      427    0.000    0.000    0.473    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9737(_sync_current_playcall_to_canonical_name)
      376    0.001    0.000    0.472    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9654(_canonical_offensive_playcall_name)
    76/68    0.011    0.000    0.393    0.006 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
  6867007    0.375    0.000    0.375    0.000 {built-in method builtins.len}
    62780    0.185    0.000    0.286    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
        1    0.000    0.000    0.274    0.274 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:95(enrich_franchise_teams_scoreboard_meta)
        1    0.000    0.000    0.267    0.267 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
        2    0.000    0.000    0.266    0.133 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
        2    0.000    0.000    0.262    0.131 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:398(_load_roster)
        2    0.000    0.000    0.259    0.129 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:194(load_roster)
        2    0.001    0.000    0.258    0.129 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:17(_load_from_db)
    53828    0.040    0.000    0.240    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1831(get_defender_coords)
  4057424    0.229    0.000    0.229    0.000 {built-in method builtins.abs}
       11    0.000    0.000    0.228    0.021 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4117(_emit_pressure_animation_steps)
      262    0.001    0.000    0.219    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:162(_apply_set_play_runtime_position_mapping)
      125    0.002    0.000    0.191    0.002 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:2696(set_playcalls)
