=== BY CUMULATIVE TIME (top 80) ===
         38075122 function calls (34866011 primitive calls) in 10.394 seconds

   Ordered by: cumulative time
   List reduced from 1984 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22424    0.138    0.000    0.957    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
      342    0.001    0.000    0.820    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9750(get_hco_skeleton)
    37374    0.085    0.000    0.754    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:693(assign_zone_defender_coords)
  6672103    0.669    0.000    0.669    0.000 {method 'get' of 'dict' objects}
      118    0.002    0.000    0.667    0.006 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3567(calculate_ev)
13337/4625    0.008    0.000    0.591    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
        5    0.000    0.000    0.533    0.107 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:256(_check_once)
        5    0.000    0.000    0.519    0.104 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:292(_check_with_socket)
        5    0.000    0.000    0.519    0.104 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:899(_next_reply)
       22    0.000    0.000    0.480    0.022 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:503(build_lineup_from_mongo)
       22    0.000    0.000    0.477    0.022 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:307(_get_or_compute_team_fill_order)
        2    0.001    0.000    0.477    0.239 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:255(compute_team_fill_order)
        2    0.000    0.000    0.477    0.238 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:265(compute_position_shot_weights)
7436911/7436363    0.475    0.000    0.476    0.000 {built-in method builtins.isinstance}
       20    0.000    0.000    0.437    0.022 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4117(_emit_pressure_animation_steps)
      342    0.002    0.000    0.393    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9867(_get_skeleton_from_team_plays)
        2    0.000    0.000    0.390    0.195 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:240(_fetch_universal_play_docs_by_id)
  6792536    0.361    0.000    0.361    0.000 {built-in method builtins.len}
      342    0.000    0.000    0.354    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9737(_sync_current_playcall_to_canonical_name)
      289    0.001    0.000    0.353    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9654(_canonical_offensive_playcall_name)
    69/62    0.011    0.000    0.337    0.005 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
       20    0.002    0.000    0.285    0.014 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
       15    0.000    0.000    0.278    0.019 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_fcp_step_emitter.py:15(build_dynamic_fcp_animation_steps)
    61815    0.177    0.000    0.277    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
      279    0.000    0.000    0.266    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:82(_project_pressure_step)
      279    0.000    0.000    0.266    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:102(project_animation_step_through_pressure_state)
        2    0.000    0.000    0.260    0.130 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:398(_load_roster)
    55458    0.043    0.000    0.257    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1831(get_defender_coords)
        2    0.000    0.000    0.256    0.128 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:194(load_roster)
  3971837    0.233    0.000    0.233    0.000 {built-in method builtins.abs}
      2/1    0.000    0.000    0.220    0.220 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
        1    0.000    0.000    0.217    0.217 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
      2/1    0.000    0.000    0.204    0.204 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:3899(_run_franchise_cpu_full_simulation_core)
        1    0.000    0.000    0.204    0.204 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2401(summarize_game_state)
        2    0.000    0.000    0.186    0.093 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
     4541    0.006    0.000    0.180    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:467(_get_32_zone_boundaries)
      299    0.001    0.000    0.180    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:78(project_pressure_step_states_to_animation_steps)




=== BY TOTAL (SELF) TIME (top 80) ===
         38075122 function calls (34866011 primitive calls) in 10.394 seconds

   Ordered by: internal time
   List reduced from 1984 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   679389    1.773    0.000    2.365    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
  139/133    1.197    0.009    1.197    0.009 {method 'read' of '_ssl._SSLSocket' objects}
1079188/317    0.715    0.000    1.194    0.004 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1442(convert_players)
  6672103    0.669    0.000    0.669    0.000 {method 'get' of 'dict' objects}
863377/15508    0.519    0.000    1.100    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
7436911/7436363    0.475    0.000    0.476    0.000 {built-in method builtins.isinstance}
1132445/1    0.404    0.000    0.034    0.034 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2411(_collect_player_ids)
  6792536    0.361    0.000    0.361    0.000 {built-in method builtins.len}
    11600    0.266    0.000    3.687    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1043(assign_all_zone_defenders)
  3971837    0.233    0.000    0.233    0.000 {built-in method builtins.abs}
