kind,matchup,wall_s,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,HA Rushmore @ Two Rivers,4.7431,home,Two Rivers,TWO_RIVERS,85,68.08,31,56,55.36,19,36,52.78,2,7,28.57,11,2,26,28,29,2,0,22
cpu_full,HA Rushmore @ Two Rivers,4.7431,away,HA Rushmore,HA_RUSHMORE,95,75.04,35,73,47.95,14,34,41.18,13,16,81.25,5,10,23,33,27,5,0,5
cpu_full,Amarillo Tech @ Stormwood,4.9186,home,Stormwood,STORMWOOD,110,66.88,43,67,64.18,21,33,63.64,1,2,50.0,7,8,16,24,33,9,0,16
cpu_full,Amarillo Tech @ Stormwood,4.9186,away,Amarillo Tech,AMARILLO_TECH,101,71.52,39,58,67.24,22,35,62.86,3,8,37.5,13,3,17,20,35,5,0,8
cpu_full,Norman @ Kenton,4.6732,home,Kenton,KENTON,62,60.88,24,48,50.0,11,23,47.83,1,2,50.0,17,5,18,23,19,5,0,14
cpu_full,Norman @ Kenton,4.6732,away,Norman,NORMAN,102,68.84,40,70,57.14,20,34,58.82,4,11,36.36,7,13,18,31,30,10,0,9
cpu_full,Ada @ River's Edge,4.6913,home,River's Edge,rivers_edge,100,67.2,38,61,62.3,22,34,64.71,4,5,80.0,11,7,21,28,30,7,0,10
cpu_full,Ada @ River's Edge,4.6913,away,Ada,ADA,79,66.2,31,55,56.36,14,28,50.0,1,5,20.0,12,3,15,18,27,7,0,8
cpu_full,Pan Handle Limited @ Reyes-Santiago,5.16,home,Reyes-Santiago,REYES_SANTIAGO,91,76.32,38,61,62.3,18,32,56.25,1,3,33.33,18,4,26,30,27,5,0,19
cpu_full,Pan Handle Limited @ Reyes-Santiago,5.16,away,Pan Handle Limited,PAN_HANDLE_LIMITED,102,78.16,35,76,46.05,22,43,51.16,6,14,42.86,11,15,20,35,29,12,3,9
cpu_full,Abilene @ MiddleTEX,4.7026,home,MiddleTEX,MIDDLETEX,73,66.96,29,70,41.43,11,30,36.67,4,9,44.44,8,15,30,45,22,3,0,4
cpu_full,Abilene @ MiddleTEX,4.7026,away,Abilene,ABILENE,38,58.64,14,52,26.92,5,25,20.0,5,6,83.33,11,7,24,31,12,6,0,12
cpu_full,Austin West @ Bayou District,4.8008,home,Bayou District,BAYOU_DISTRICT,103,73.16,33,59,55.93,19,31,61.29,13,14,92.86,13,5,24,29,30,11,0,5
cpu_full,Austin West @ Bayou District,4.8008,away,Austin West,AUSTIN_WEST,90,72.32,37,63,58.73,19,28,67.86,2,3,66.67,13,5,17,22,32,5,2,17
cpu_full,GP Prep School @ Austin,4.2158,home,Austin,AUSTIN,92,75.2,37,71,52.11,18,32,56.25,4,5,80.0,11,9,28,37,27,11,0,6
cpu_full,GP Prep School @ Austin,4.2158,away,GP Prep School,GP_PREP_SCHOOL,60,68.4,22,57,38.6,7,26,26.92,5,10,50.0,14,7,21,28,19,5,1,6
cpu_full,Chambless Global @ Houston Jesuit,4.7154,home,Houston Jesuit,HOUSTON_JESUIT,111,80.64,46,71,64.79,20,33,60.61,5,6,83.33,18,11,18,29,28,10,0,11
cpu_full,Chambless Global @ Houston Jesuit,4.7154,away,Chambless Global,CHAMBLESS_GLOBAL,92,69.84,33,52,63.46,14,29,48.28,6,11,54.55,14,1,14,15,27,14,0,12
cpu_full,Border Academy @ Southwest Miner,4.8003,home,Southwest Miner,SOUTHWEST_MINER,77,76.2,30,69,43.48,14,33,42.42,3,5,60.0,20,15,31,46,19,4,0,13
cpu_full,Border Academy @ Southwest Miner,4.8003,away,Border Academy,BORDER_ACADEMY,74,73.84,29,77,37.66,9,32,28.12,7,11,63.64,11,19,22,41,20,10,0,9
cpu_full,Pike's Prep @ Tucson,4.5127,home,Tucson,TUCSON,88,69.04,31,55,56.36,15,25,60.0,9,16,56.25,10,3,21,24,23,3,0,15
cpu_full,Pike's Prep @ Tucson,4.5127,away,Pike's Prep,pikes_prep,97,69.16,35,67,52.24,20,29,68.97,9,14,64.29,7,11,21,32,26,9,0,22
cpu_full,Barton Lutheran @ East Rockies,4.8122,home,East Rockies,EAST_ROCKIES,98,70.52,34,69,49.28,25,45,55.56,7,8,87.5,7,9,21,30,28,7,0,13
cpu_full,Barton Lutheran @ East Rockies,4.8122,away,Barton Lutheran,BARTON_LUTHERAN,86,70.08,32,59,54.24,18,32,56.25,2,7,28.57,13,5,22,27,27,3,1,9
cpu_full,Desert Regional @ Circus Circus,4.2771,home,Circus Circus,CIRCUS_CIRCUS,105,66.32,39,56,69.64,22,31,70.97,1,3,33.33,12,3,16,19,35,3,0,16
cpu_full,Desert Regional @ Circus Circus,4.2771,away,Desert Regional,DESERT_REGIONAL,102,78.48,39,68,57.35,15,27,55.56,13,17,76.47,7,4,17,21,30,9,0,13
cpu_full,Seattle AAA @ Swoosh,4.7545,home,Swoosh,SWOOSH,89,73.24,35,71,49.3,11,24,45.83,12,21,57.14,6,13,28,41,21,14,0,9
cpu_full,Seattle AAA @ Swoosh,4.7545,away,Seattle AAA,SEATTLE_AAA,55,66.52,18,49,36.73,11,32,34.38,4,8,50.0,17,3,23,26,18,4,0,18
cpu_full,Rainier Central @ Vancouver,4.8546,home,Vancouver,VANCOUVER,109,82.32,43,68,63.24,26,40,65.0,3,3,100.0,19,6,18,24,31,6,0,21
cpu_full,Rainier Central @ Vancouver,4.8546,away,Rainier Central,RAINIER_CENTRAL,127,76.8,42,71,59.15,23,34,67.65,14,20,70.0,9,12,17,29,35,12,0,9
cpu_full,Couer d'Alene @ Salem,4.577,home,Salem,SALEM,59,73.96,18,48,37.5,9,30,30.0,4,9,44.44,26,4,30,34,13,8,0,7
cpu_full,Couer d'Alene @ Salem,4.577,away,Couer d'Alene,couer_d_alene,84,80.32,36,73,49.32,19,39,48.72,3,3,100.0,11,5,24,29,19,15,0,9
cpu_full,Cardinal Conor @ Boise,4.558,home,Boise,BOISE,58,74.28,21,54,38.89,9,31,29.03,7,12,58.33,24,9,33,42,13,3,0,19
cpu_full,Cardinal Conor @ Boise,4.558,away,Cardinal Conor,CARDINAL_CONOR,70,69.6,26,59,44.07,10,28,35.71,8,15,53.33,9,5,23,28,19,15,0,11
cpu_full,Hollywood Prep @ Rancho Estrada,4.4811,home,Rancho Estrada,RANCHO_ESTRADA,63,71.2,23,48,47.92,10,24,41.67,5,5,100.0,25,4,26,30,16,4,0,19
cpu_full,Hollywood Prep @ Rancho Estrada,4.4811,away,Hollywood Prep,HOLLYWOOD_PREP,86,75.8,30,73,41.1,15,31,48.39,13,20,65.0,8,14,19,33,26,18,0,10
cpu_full,West Ocean City @ DeCatur Dei,4.5904,home,DeCatur Dei,DECATUR_DEI,91,76.16,32,53,60.38,17,28,60.71,12,14,85.71,20,3,19,22,19,10,0,23
cpu_full,West Ocean City @ DeCatur Dei,4.5904,away,West Ocean City,WEST_OCEAN_CITY,105,78.68,34,65,52.31,21,39,53.85,14,22,63.64,15,11,14,25,25,11,0,12
cpu_full,San Jose @ Huntington Canyon,4.6049,home,Huntington Canyon,HUNTINGTON_CANYON,87,75.52,31,54,57.41,14,33,42.42,7,8,87.5,22,4,16,20,25,22,0,21
cpu_full,San Jose @ Huntington Canyon,4.6049,away,San Jose,SAN_JOSE,101,86.36,39,60,65.0,15,26,57.69,12,19,63.16,25,7,19,26,22,16,1,10
cpu_full,Berkley @ Valley High,4.6935,home,Valley High,VALLEY_HIGH,83,72.72,33,59,55.93,13,24,54.17,6,13,46.15,15,7,21,28,24,7,0,17
cpu_full,Berkley @ Valley High,4.6935,away,Berkley,BERKLEY,77,70.92,25,50,50.0,13,23,56.52,12,18,66.67,19,6,21,27,23,7,0,20
cpu_full,Mahala Alou @ Melbourne Americas,4.1132,home,Melbourne Americas,MELBOURNE_AMERICAS,116,67.64,44,63,69.84,24,39,61.54,4,6,66.67,8,6,21,27,30,5,1,6
cpu_full,Mahala Alou @ Melbourne Americas,4.1132,away,Mahala Alou,MAHALA_ALOU,74,64.76,29,58,50.0,14,27,51.85,2,4,50.0,11,6,12,18,27,7,0,9
cpu_full,Pacific All-Stars @ Cupertino,5.6068,home,Cupertino,CUPERTINO,93,71.2,39,61,63.93,15,26,57.69,2,5,40.0,15,7,21,28,25,9,2,5
cpu_full,Pacific All-Stars @ Cupertino,5.6068,away,Pacific All-Stars,PACIFIC_ALL_STARS,92,71.2,34,60,56.67,19,35,54.29,3,5,60.0,11,2,16,18,27,13,1,13
cpu_full,Grizzly Academy @ Redwood High,4.622,home,Redwood High,REDWOOD_HIGH,84,67.52,32,66,48.48,16,35,45.71,4,8,50.0,8,10,32,42,18,4,0,9
cpu_full,Grizzly Academy @ Redwood High,4.622,away,Grizzly Academy,GRIZZLY_ACADEMY,50,68.92,19,66,28.79,5,30,16.67,7,18,38.89,9,14,22,36,17,2,0,12
practice_squad,Region G All-Americans @ Region A All-Americans,5.6988,home,Region A All-Americans,ps_A_1,61,73.4,25,75,33.33,8,38,21.05,3,10,30.0,4,10,25,35,20,2,1,7
practice_squad,Region G All-Americans @ Region A All-Americans,5.6988,away,Region G All-Americans,ps_G_1,75,65.08,32,61,52.46,10,33,30.3,1,7,14.29,4,3,37,40,25,1,0,9
practice_squad,Region F All-Americans @ Region H All-Americans,4.8625,home,Region H All-Americans,ps_H_1,103,66.04,34,62,54.84,20,37,54.05,13,16,81.25,6,9,28,37,27,2,0,10
practice_squad,Region F All-Americans @ Region H All-Americans,4.8625,away,Region F All-Americans,ps_F_1,70,72.92,29,67,43.28,8,30,26.67,6,18,33.33,6,8,17,25,24,2,0,12
practice_squad,Region E All-Americans @ Region B All-Americans,4.9848,home,Region B All-Americans,ps_B_1,61,66.28,25,67,37.31,6,31,19.35,5,12,41.67,4,10,35,45,18,2,0,13
practice_squad,Region E All-Americans @ Region B All-Americans,4.9848,away,Region E All-Americans,ps_E_1,52,66.72,19,67,28.36,9,35,25.71,5,13,38.46,7,13,35,48,15,2,1,14
practice_squad,Region D All-Americans @ Region C All-Americans,4.9126,home,Region C All-Americans,ps_C_1,84,70.6,33,71,46.48,10,33,30.3,9,15,60.0,7,14,26,40,22,4,0,18
practice_squad,Region D All-Americans @ Region C All-Americans,4.9126,away,Region D All-Americans,ps_D_1,71,68.16,27,55,49.09,10,23,43.48,6,14,42.86,13,6,25,31,21,1,0,13
practice_squad,Region G All-Stars @ Region A All-Stars,5.0899,home,Region A All-Stars,ps_A_2,75,81.96,26,73,35.62,6,43,13.95,18,34,52.94,7,13,37,50,16,2,0,21
practice_squad,Region G All-Stars @ Region A All-Stars,5.0899,away,Region G All-Stars,ps_G_2,68,81.2,26,76,34.21,12,37,32.43,3,30,10.0,8,16,40,56,21,0,1,30
practice_squad,Region F All-Stars @ Region H All-Stars,5.0181,home,Region H All-Stars,ps_H_2,80,80.92,30,73,41.1,8,35,22.86,12,18,66.67,6,6,24,30,26,1,1,20
practice_squad,Region F All-Stars @ Region H All-Stars,5.0181,away,Region F All-Stars,ps_F_2,98,82.2,34,82,41.46,11,34,32.35,19,30,63.33,7,20,36,56,22,0,0,15
practice_squad,Region E All-Stars @ Region B All-Stars,5.9995,home,Region B All-Stars,ps_B_2,67,80.48,24,67,35.82,8,39,20.51,11,17,64.71,9,3,32,35,22,2,0,22
practice_squad,Region E All-Stars @ Region B All-Stars,5.9995,away,Region E All-Stars,ps_E_2,63,78.08,23,83,27.71,4,35,11.43,13,32,40.62,10,29,32,61,16,3,0,17
practice_squad,Region D All-Stars @ Region C All-Stars,5.1288,home,Region C All-Stars,ps_C_2,48,72.16,17,70,24.29,5,38,13.16,9,14,64.29,8,12,31,43,14,0,0,15
practice_squad,Region D All-Stars @ Region C All-Stars,5.1288,away,Region D All-Stars,ps_D_2,78,71.36,31,73,42.47,10,34,29.41,6,19,31.58,5,15,36,51,21,1,0,9
practice_squad,Region G Varsity @ Region A Varsity,5.5266,home,Region A Varsity,ps_A_3,56,70.92,21,76,27.63,6,46,13.04,8,18,44.44,6,19,33,52,15,2,2,14
practice_squad,Region G Varsity @ Region A Varsity,5.5266,away,Region G Varsity,ps_G_3,50,70.48,17,62,27.42,8,36,22.22,8,17,47.06,9,8,38,46,11,0,0,16
practice_squad,Region F Varsity @ Region H Varsity,5.5662,home,Region H Varsity,ps_H_3,68,81.48,22,86,25.58,4,35,11.43,20,42,47.62,5,28,43,71,11,4,0,10
practice_squad,Region F Varsity @ Region H Varsity,5.5662,away,Region F Varsity,ps_F_3,38,74.16,15,68,22.06,4,38,10.53,4,14,28.57,7,7,35,42,13,1,0,27
practice_squad,Region E Varsity @ Region B Varsity,5.3321,home,Region B Varsity,ps_B_3,40,75.72,15,68,22.06,4,39,10.26,6,13,46.15,9,7,39,46,11,3,0,23
practice_squad,Region E Varsity @ Region B Varsity,5.3321,away,Region E Varsity,ps_E_3,52,82.16,18,85,21.18,2,38,5.26,14,39,35.9,5,25,45,70,10,1,0,9
practice_squad,Region D Varsity @ Region C Varsity,5.028,home,Region C Varsity,ps_C_3,44,64.52,17,60,28.33,5,32,15.62,5,8,62.5,5,4,27,31,14,2,0,19
practice_squad,Region D Varsity @ Region C Varsity,5.028,away,Region D Varsity,ps_D_3,63,72.92,26,70,37.14,4,30,13.33,7,18,38.89,11,16,40,56,16,1,0,6
practice_squad,Region G JV @ Region A JV,5.2762,home,Region A JV,ps_A_4,57,76.24,21,61,34.43,2,36,5.56,11,21,52.38,7,1,41,42,17,0,0,15
practice_squad,Region G JV @ Region A JV,5.2762,away,Region G JV,ps_G_4,59,81.24,24,86,27.91,4,39,10.26,9,21,42.86,4,18,39,57,18,1,1,19
practice_squad,Region F JV @ Region H JV,5.0,home,Region H JV,ps_H_4,49,78.48,18,81,22.22,5,46,10.87,8,17,47.06,5,15,44,59,10,2,0,14
practice_squad,Region F JV @ Region H JV,5.0,away,Region F JV,ps_F_4,48,78.12,15,66,22.73,6,44,13.64,12,23,52.17,7,5,45,50,12,0,0,12
practice_squad,Region E JV @ Region B JV,5.1721,home,Region B JV,ps_B_4,52,67.68,18,77,23.38,5,40,12.5,11,22,50.0,4,23,33,56,12,0,0,17
practice_squad,Region E JV @ Region B JV,5.1721,away,Region E JV,ps_E_4,53,74.56,18,61,29.51,1,30,3.33,16,24,66.67,8,5,35,40,16,0,0,16
practice_squad,Region D JV @ Region C JV,5.1704,home,Region C JV,ps_C_4,52,68.32,16,74,21.62,6,39,15.38,14,28,50.0,2,20,39,59,11,0,0,13
practice_squad,Region D JV @ Region C JV,5.1704,away,Region D JV,ps_D_4,47,71.6,18,72,25.0,5,42,11.9,6,15,40.0,4,11,36,47,14,0,0,20
practice_squad,Region G Squad @ Region A Squad,5.0549,home,Region A Squad,ps_A_5,49,67.6,17,61,27.87,4,33,12.12,11,15,73.33,5,5,40,45,12,1,0,13
practice_squad,Region G Squad @ Region A Squad,5.0549,away,Region G Squad,ps_G_5,39,74.8,15,87,17.24,2,34,5.88,7,20,35.0,8,29,35,64,11,1,0,11
practice_squad,Region F Squad @ Region H Squad,5.3927,home,Region H Squad,ps_H_5,32,66.48,10,67,14.93,3,42,7.14,9,17,52.94,3,11,38,49,9,0,0,24
practice_squad,Region F Squad @ Region H Squad,5.3927,away,Region F Squad,ps_F_5,34,75.16,10,79,12.66,0,32,0.0,14,39,35.9,7,28,45,73,9,2,0,13
practice_squad,Region E Squad @ Region B Squad,5.3165,home,Region B Squad,ps_B_5,41,74.6,16,60,26.67,2,30,6.67,9,15,60.0,15,7,38,45,14,1,0,20
practice_squad,Region E Squad @ Region B Squad,5.3165,away,Region E Squad,ps_E_5,50,76.64,15,71,21.13,2,38,5.26,16,31,51.61,8,16,35,51,10,3,0,13
practice_squad,Region D Squad @ Region C Squad,4.5316,home,Region C Squad,ps_C_5,37,60.84,15,56,26.79,2,27,7.41,7,11,63.64,6,6,39,45,8,0,0,22
practice_squad,Region D Squad @ Region C Squad,4.5316,away,Region D Squad,ps_D_5,34,71.88,10,59,16.95,1,29,3.45,11,27,40.74,9,8,34,42,7,0,0,10
