=== BY CUMULATIVE TIME (top 80) ===
         48140739 function calls (40876000 primitive calls) in 18.358 seconds

   Ordered by: cumulative time
   List reduced from 2011 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.001    0.000    0.566    0.007 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5817(_hco_contest_final_skeleton)
      347    0.002    0.000    0.563    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:10126(_get_skeleton_from_team_plays)
   329183    0.362    0.000    0.523    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
       24    0.000    0.000    0.465    0.019 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4093(_emit_pressure_animation_steps)
  7114909    0.452    0.000    0.452    0.000 {built-in method builtins.id}
   901245    0.235    0.000    0.382    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
5199694/5199462    0.374    0.000    0.375    0.000 {built-in method builtins.isinstance}
      3/2    6.095    2.032    0.351    0.175 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
     5597    0.046    0.000    0.349    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
      175    0.002    0.000    0.314    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5257(_hco_post_subtle_defender_row)
       24    0.002    0.000    0.308    0.013 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
    78/65    0.112    0.001    0.295    0.005 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
    10357    0.065    0.000    0.291    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
      2/1    0.000    0.000    0.289    0.289 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
      347    0.000    0.000    0.289    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9996(_sync_current_playcall_to_canonical_name)
      327    0.001    0.000    0.288    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9913(_canonical_offensive_playcall_name)
      338    0.000    0.000    0.275    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:82(_project_pressure_step)
      338    0.000    0.000    0.275    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:102(project_animation_step_through_pressure_state)
    18976    0.044    0.000    0.267    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
        2    0.000    0.000    0.256    0.128 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:471(_load_roster)
        2    0.000    0.000    0.253    0.127 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:218(load_roster)
        2    0.000    0.000    0.253    0.127 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:17(_load_from_db)
       24    0.000    0.000    0.246    0.010 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:814(build_lineup_from_mongo)
