=== BY CUMULATIVE TIME (top 80) ===
         22631266 function calls (20647857 primitive calls) in 7.201 seconds

   Ordered by: cumulative time
   List reduced from 2313 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.539    0.270 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:224(_check_server)
  4597448    0.472    0.000    0.472    0.000 {method 'get' of 'dict' objects}
     4542    0.035    0.000    0.459    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:850(_detect_overlapping_zones)
13003/5425    0.007    0.000    0.436    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    10294    0.059    0.000    0.423    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
        2    0.000    0.000    0.409    0.204 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:402(_load_roster)
5006191/5005661    0.347    0.000    0.348    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.255    0.255 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2401(summarize_game_state)
       20    0.000    0.000    0.252    0.013 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:503(build_lineup_from_mongo)
        1    0.000    0.000    0.251    0.251 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:95(enrich_franchise_teams_scoreboard_meta)
       20    0.000    0.000    0.249    0.012 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:307(_get_or_compute_team_fill_order)
        2    0.001    0.000    0.249    0.125 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:255(compute_team_fill_order)
        2    0.000    0.000    0.248    0.124 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:265(compute_position_shot_weights)
       17    0.000    0.000    0.239    0.014 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4117(_emit_pressure_animation_steps)
    13406    0.026    0.000    0.234    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:693(assign_zone_defender_coords)
    51/44    0.005    0.000    0.226    0.005 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
      373    0.000    0.000    0.223    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9737(_sync_current_playcall_to_canonical_name)
      341    0.001    0.000    0.223    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9654(_canonical_offensive_playcall_name)
        1    0.000    0.000    0.195    0.195 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
        2    0.000    0.000    0.191    0.095 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:194(load_roster)
      232    0.001    0.000    0.180    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:162(_apply_set_play_runtime_position_mapping)
        2    0.000    0.000    0.174    0.087 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:240(_fetch_universal_play_docs_by_id)
      374    0.000    0.000    0.167    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:2372(update_team_stats)
  2699033    0.167    0.000    0.167    0.000 {built-in method builtins.len}
      748    0.086    0.000    0.166    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:915(update_team_stats)
   893485    0.107    0.000    0.161    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
       17    0.001    0.000    0.159    0.009 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
        2    0.000    0.000    0.157    0.078 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:17(_load_from_db)
        2    0.000    0.000    0.151    0.076 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
      199    0.000    0.000    0.141    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:82(_project_pressure_step)
      199    0.000    0.000    0.141    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:102(project_animation_step_through_pressure_state)
        2    0.000    0.000    0.133    0.067 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:20(resolve_mongo_team_id_string)
        2    0.000    0.000    0.133    0.067 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:43(_lookup_by_string)
      119    0.000    0.000    0.132    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3238(_get_plays_by_type_and_focus)
    25625    0.019    0.000    0.129    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1831(get_defender_coords)
      119    0.002    0.000    0.124    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:2696(set_playcalls)
      130    0.034    0.000    0.120    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)




=== BY TOTAL (SELF) TIME (top 80) ===
         22631266 function calls (20647857 primitive calls) in 7.201 seconds

   Ordered by: internal time
   List reduced from 2313 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  219/211    1.618    0.007    1.618    0.008 {method 'read' of '_ssl._SSLSocket' objects}
   267613    0.643    0.000    0.901    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
1089006/323    0.604    0.000    1.007    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1442(convert_players)
  4597448    0.472    0.000    0.472    0.000 {method 'get' of 'dict' objects}
777978/14155    0.436    0.000    0.952    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
5006191/5005661    0.347    0.000    0.348    0.000 {built-in method builtins.isinstance}
     49/0    0.184    0.004    0.000          {method 'poll' of 'select.poll' objects}
  2699033    0.167    0.000    0.167    0.000 {built-in method builtins.len}
     52/0    0.163    0.003    0.000          {built-in method time.sleep}
135322/14035    0.162    0.000    0.933    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
   893485    0.107    0.000    0.161    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
  1571858    0.098    0.000    0.098    0.000 {built-in method builtins.abs}
      184    0.096    0.001    7.027    0.038 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
     4542    0.092    0.000    1.390    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1043(assign_all_zone_defenders)
      748    0.086    0.000    0.166    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:915(update_team_stats)
  1089085    0.084    0.000    0.084    0.000 {built-in method builtins.id}
   267613    0.079    0.000    1.000    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:530(_point_in_zone)
    24685    0.063    0.000    0.100    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
       73    0.061    0.001    1.580    0.022 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
    10294    0.059    0.000    0.423    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
   503417    0.056    0.000    0.056    0.000 {method 'append' of 'list' objects}
   504620    0.055    0.000    0.055    0.000 {method 'items' of 'dict' objects}
   148325    0.043    0.000    0.071    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
    25629    0.036    0.000    0.080    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1494(calculate_defender_coords)
     4542    0.035    0.000    0.459    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:850(_detect_overlapping_zones)
      130    0.034    0.000    0.120    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
