kind,matchup,wall_s,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,4.9271,home,Ocean City,OCEAN_CITY,99,66.72,34,65,52.31,21,36,58.33,8,13,61.54,5,9,24,33,26,3,0,17
cpu_full,Xavien @ Ocean City,4.9271,away,Xavien,XAVIEN,76,69.48,28,57,49.12,11,24,45.83,11,17,64.71,7,2,21,23,20,3,0,19
