=== BY CUMULATIVE TIME (top 80) ===
         27659299 function calls (25340610 primitive calls) in 8.026 seconds

   Ordered by: cumulative time
   List reduced from 2000 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      341    0.002    0.000    0.610    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:10019(_get_skeleton_from_team_plays)
     9702    0.075    0.000    0.558    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
       80    0.001    0.000    0.481    0.006 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5736(_hco_contest_final_skeleton)
    35447    0.077    0.000    0.474    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
    17074    0.103    0.000    0.446    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
    54/45    0.057    0.001    0.390    0.009 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
      341    0.000    0.000    0.378    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9889(_sync_current_playcall_to_canonical_name)
      318    0.001    0.000    0.378    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9806(_canonical_offensive_playcall_name)
5753969/5753503    0.344    0.000    0.345    0.000 {built-in method builtins.isinstance}
      3/2    0.000    0.000    0.289    0.145 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:402(_load_roster)
    49328    0.038    0.000    0.244    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
      2/1    0.000    0.000    0.227    0.227 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
        2    0.000    0.000    0.221    0.111 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:194(load_roster)
    53230    0.144    0.000    0.219    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
       29    0.000    0.000    0.206    0.007 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:1151(resolve_fast_break_logic)
      3/2    0.000    0.000    0.203    0.101 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
      436    0.001    0.000    0.196    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:2389(update_team_stats)
      872    0.109    0.000    0.195    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:915(update_team_stats)
       11    0.000    0.000    0.185    0.017 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4117(_emit_pressure_animation_steps)
      195    0.049    0.000    0.165    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
   963756    0.115    0.000    0.164    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
       76    0.000    0.000    0.161    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/fb_step_state.py:87(project_animation_step_through_fast_break_state)
    49334    0.072    0.000    0.158    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1521(calculate_defender_coords)
       94    0.000    0.000    0.156    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/fb_step_state.py:63(project_fast_break_step_states_to_animation_steps)
       14    0.000    0.000    0.154    0.011 /Users/jamesdavies/gob-simplified/BackEnd/engine/fb_drive_step_emitter.py:216(build_fb_drive_resolution_steps)
       18    0.000    0.000    0.153    0.009 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:503(build_lineup_from_mongo)
       18    0.000    0.000    0.151    0.008 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:307(_get_or_compute_team_fill_order)
        2    0.001    0.000    0.151    0.075 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:255(compute_team_fill_order)
        2    0.000    0.000    0.150    0.075 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:265(compute_position_shot_weights)
      195    0.001    0.000    0.145    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:163(_apply_set_play_runtime_position_mapping)
        6    0.000    0.000    0.130    0.022 /Users/jamesdavies/gob-simplified/BackEnd/engine/covert_release_step_emitter.py:1456(build_covert_release_animation_steps)
        6    0.000    0.000    0.129    0.022 /Users/jamesdavies/gob-simplified/BackEnd/engine/covert_release_step_emitter.py:689(_build_cr_drive_resolution_animation_steps)
       11    0.001    0.000    0.128    0.012 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
        2    0.000    0.000    0.125    0.062 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:17(_load_from_db)
        1    0.000    0.000    0.119    0.119 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2424(summarize_game_state)
        1    0.000    0.000    0.116    0.116 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:95(enrich_franchise_teams_scoreboard_meta)
  1803483    0.114    0.000    0.114    0.000 {built-in method builtins.len}




=== BY TOTAL (SELF) TIME (top 80) ===
         27659299 function calls (25340610 primitive calls) in 8.026 seconds

   Ordered by: internal time
   List reduced from 2000 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  151/147    1.039    0.007    1.039    0.007 {method 'read' of '_ssl._SSLSocket' objects}
