=== BY CUMULATIVE TIME (top 80) ===
         35591607 function calls (30782405 primitive calls) in 18.430 seconds

   Ordered by: cumulative time
   List reduced from 2047 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.871    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       20    0.000    0.000    0.870    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
       20    0.000    0.000    0.870    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       20    0.000    0.000    0.869    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       20    0.000    0.000    0.868    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
   241598    0.623    0.000    0.868    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
       20    0.000    0.000    0.860    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       20    0.001    0.000    0.858    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
270551/256883    0.253    0.000    0.851    0.000 {built-in method builtins.next}
    26/20    0.000    0.000    0.846    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
   139/98    0.005    0.000    0.826    0.008 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:136(__enter__)
      314    0.010    0.000    0.786    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:5770(update_clock_and_possession)
       35    0.007    0.000    0.775    0.022 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
      6/3    0.001    0.000    0.773    0.258 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:427(_ping)
      6/3    0.001    0.000    0.720    0.240 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:813(hello)
    16/15    0.001    0.000    0.703    0.047 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
    70/64    0.040    0.001    0.701    0.011 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
       34    0.000    0.000    0.697    0.020 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:435(_get_or_compute_team_fill_order)
        2    0.003    0.002    0.697    0.348 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:383(compute_team_fill_order)
      414    0.000    0.000    0.695    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:82(_project_pressure_step)
        2    0.001    0.000    0.694    0.347 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:255(compute_position_shot_weights)
      414    0.001    0.000    0.691    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:102(project_animation_step_through_pressure_state)
      437    0.003    0.000    0.657    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9988(get_hco_skeleton)
